target_class,classification,color,count,location,material,other
0.25L,0,0,0,0,0,1
0개,0,0,1,0,0,0
1.25L,0,0,0,0,0,1
1000mL,0,0,0,0,0,1
10개,0,0,9,0,0,0
10개 이상,0,0,11,0,0,0
10개입,0,0,1,0,0,0
1100 x 2000 mm,0,0,0,0,0,1
11개,0,0,10,0,0,0
12개,0,0,6,0,0,0
13개,0,0,5,0,0,0
14,1,0,0,0,0,0
14개,0,0,5,0,0,0
15개,0,0,4,0,0,0
16oz PET 컵 1000개,1,0,0,0,0,0
16개,0,0,4,0,0,0
18L,0,0,0,0,0,1
18개,0,0,3,0,0,0
1개,0,0,371,0,0,0
200ml,0,0,0,0,0,1
20개 이상,0,0,1,0,0,0
21개,0,0,1,0,0,0
24개,0,0,2,0,0,0
25개,0,0,2,0,0,0
26개,0,0,1,0,0,0
2개,0,0,686,0,0,0
2권,0,0,0,0,0,4
2장,0,0,0,0,0,1
30개,0,0,2,0,0,0
3개,0,0,288,0,0,0
3권,0,0,0,0,0,1
4개,0,0,132,0,0,0
4개 이상,0,0,9,0,0,0
4권,0,0,1,0,0,0
4장,0,0,0,0,0,2
500 ml,0,0,0,0,0,1
500mL,0,0,0,0,0,1
500ml,0,0,0,0,0,6
50개입,0,0,3,0,0,0
5개,0,0,58,0,0,0
5개 이상,0,0,1,0,0,0
6개,0,0,31,0,0,0
6개입,0,0,1,0,0,0
7개,0,0,13,0,0,0
8개,0,0,13,0,0,0
9개,0,0,34,0,0,0
AA형 건전지 4개,0,0,1,0,0,0
Almond Breeze 상자,0,0,0,0,1,0
Asahi 맥주 캔,1,0,0,0,0,0
CITRA HOP SESSION IPA,1,0,0,0,0,0
COMPOSE COFFEE,0,0,0,0,0,1
Cafe`la Size Up,1,0,0,0,0,0
Cantata 콘트라베이스 음료 병,0,0,0,0,1,0
Dewar`s,0,0,0,0,0,1
HARIBO,2,0,0,0,0,0
HARIBO 골드베렌 통,0,0,0,0,1,0
HARIBO 젤리 봉지,1,0,0,0,0,0
KFC 종이 봉투,0,0,0,0,1,0
KFC 종이봉투,0,0,0,0,1,0
Kellogg`s,1,0,0,0,0,0
Kid-O,1,0,0,0,0,0
Kurly,2,0,0,0,0,0
